cLink,cID,total dailes,wins,xwins,abvxwins,score
/wiki/Chris_Tamburello,c059,164,54,48.63809809,5.361901912,0.032694524
/wiki/Johnny_Devenanzio,c154,152,61,42.03679748,18.96320252,0.124757911
/wiki/Aneesa_Ferreira,c016,136,26,36.24019722,-10.24019722,-0.075295568
/wiki/Cara_Maria_Sorbello,c050,123,43,33.58272886,9.41727114,0.07656318
/wiki/Nany_Gonz%C3%A1lez,c217,116,30,25.51994409,4.480055913,0.038621172
/wiki/Brad_Fiorenza,c036,111,41,38.87193014,2.128069864,0.019171801
/wiki/Wes_Bergmann,c303,107,25,19.47537697,5.524623028,0.051631991
/wiki/Derrick_Kosinski,c087,103,43,36.95369788,6.04630212,0.058701962
/wiki/Leroy_Garrett,c188,99,25,23.33478136,1.665218637,0.01682039
/wiki/Darrell_Taylor,c078,89,38,31.98297522,6.017024777,0.06760702
/wiki/Kyle_Christie,c178,86,12,18.31688525,-6.316885252,-0.073452154
/wiki/Abram_Boise,c001,80,49,35.18565245,13.81434755,0.172679344
/wiki/Katie_Cooley,c169,79,35,32.52198222,2.478017783,0.031367314
/wiki/Nelson_Thomas,c226,78,8,16.42564564,-8.425645638,-0.108021098
/wiki/Veronica_Portillo,c299,78,37,32.99873721,4.001262792,0.051298241
/wiki/Paula_Meronek,c235,77,29,22.73763821,6.262361788,0.081329374
/wiki/Kenny_Santucci,c175,76,35,24.05974535,10.94025465,0.143950719
/wiki/Zach_Nichols,c305,76,33,19.49925385,13.50074615,0.177641397
/wiki/Cory_Wharton,c069,74,19,15.5915124,3.408487602,0.046060643
/wiki/Diem_Brown,c090,74,19,15.99883221,3.001167787,0.040556321
/wiki/Robin_Hibbard,c249,68,22,25.3588313,-3.358831296,-0.049394578
/wiki/Coral_Smith,c067,66,27,28.50226372,-1.502263722,-0.022761572
/wiki/Jenna_Compono,c139,65,8,15.18514235,-7.185142348,-0.110540652
/wiki/Camila_Nakagawa,c049,62,16,14.83030378,1.16969622,0.018866068
/wiki/Evan_Starkman,c105,62,31,16.8575436,14.1424564,0.228104136
/wiki/Shane_Landrum,c261,61,25,18.46798259,6.532017411,0.107082253
/wiki/Ashley_Mitchell,c027,59,20,15.74433859,4.255661406,0.072129854
/wiki/Kam_Williams,c166,59,17,15.12326409,1.876735909,0.031809083
/wiki/Josh_Martinez,c160,58,19,13.4943161,5.505683901,0.094925584
/wiki/Sarah_Rice,c258,58,16,13.10114809,2.898851905,0.049980205
/wiki/Jordan_Wiseley,c158,57,21,15.13433641,5.865663593,0.102906379
/wiki/Tonya_Cooley,c288,57,22,24.07826693,-2.078266932,-0.036460823
/wiki/Tori_Deal,c289,55,19,14.04684056,4.953159443,0.090057444
/wiki/Theresa_Jones,c282,54,10,9.772562822,0.227437178,0.0042118
/wiki/Alton_Williams,c010,53,22,22.56397567,-0.563975667,-0.01064105
/wiki/Tina_Bridges,c285,52,15,18.68430066,-3.68430066,-0.070851936
/wiki/Mike_Mizanin,c211,51,24,24.54698757,-0.546987569,-0.010725246
/wiki/Rachel_Robinson,c243,51,20,18.84576686,1.154233144,0.022632022
/wiki/Eric_Banks,c101,50,12,12.26000098,-0.260000975,-0.00520002
/wiki/Evelyn_Smith,c106,50,25,18.00458557,6.995414426,0.139908289
/wiki/Devin_Walker,c088,49,9,8.830815276,0.169184724,0.003452749
/wiki/Landon_Lueck,c180,48,24,16.06452389,7.935476114,0.165322419
