chLink,,total seasons,finals made,Second,First,DQ,,,
/wiki/Chris_Tamburello,c059,19,10,4,5,0,,,
/wiki/Johnny_Devenanzio,c154,19,8,2,6,0,,,
/wiki/Aneesa_Ferreira,c016,14,2,1,0,0,,,
/wiki/Wes_Bergmann,c303,14,3,0,2,0,,,
/wiki/Cara_Maria_Sorbello,c050,15,8,4,2,0,,,
/wiki/Leroy_Garrett,c188,12,5,1,0,1,,,
/wiki/Nany_Gonz%C3%A1lez,c217,11,3,1,0,0,,,
/wiki/Brad_Fiorenza,c036,10,4,3,1,0,,,
/wiki/Darrell_Taylor,c078,9,4,0,4,0,,,
/wiki/Katie_Cooley,c169,9,2,1,1,0,,,
/wiki/Derrick_Kosinski,c087,9,4,2,2,0,,,
/wiki/Paula_Meronek,c235,9,4,3,2,0,,,
/wiki/Sarah_Rice,c258,9,5,2,2,1,,,
/wiki/Zach_Nichols,c305,9,4,2,1,0,,,
/wiki/Cory_Wharton,c069,9,4,2,0,0,,,
/wiki/Ashley_Mitchell,c027,9,3,0,2,0,,,
/wiki/Abram_Boise,c001,8,4,2,2,1,,,
/wiki/Robin_Hibbard,c249,8,2,2,0,0,,,
/wiki/Diem_Brown,c090,8,2,2,0,0,,,
/wiki/Camila_Nakagawa,c049,10,4,1,2,0,,,
/wiki/Jenna_Compono,c139,8,3,1,0,1,,,
/wiki/Nelson_Thomas,c226,8,2,1,0,0,,,
/wiki/Veronica_Portillo,c299,8,2,0,2,0,,,
/wiki/Kenny_Santucci,c175,7,6,4,2,0,,,
/wiki/Jemmye_Carroll,c136,7,1,0,0,0,,,
/wiki/Kyle_Christie,c178,7,3,2,0,0,,,
/wiki/Tonya_Cooley,c288,6,2,1,1,0,,,
/wiki/Evelyn_Smith,c106,6,3,1,2,0,,,
/wiki/Adam_King,c003,6,1,1,0,0,,,
/wiki/Evan_Starkman,c105,6,3,1,2,0,,,
/wiki/Eric_Banks,c101,6,1,1,0,1,,,
/wiki/Laurel_Stucky,c185,6,4,3,1,0,,,
/wiki/Jordan_Wiseley,c158,6,4,0,3,0,,,
/wiki/Devin_Walker,c088,6,2,0,0,0,,,
/wiki/Tori_Deal,c289,6,3,1,0,0,,,
/wiki/Tony_Raines,c287,6,1,0,0,0,,,
/wiki/Devin_Walker,c088,6,2,0,0,0,,,
/wiki/Theresa_Jones,c282,5,1,1,0,0,,,
/wiki/Coral_Smith,c067,5,3,3,0,1,,,
/wiki/Rachel_Robinson,c243,5,3,1,2,0,,,
/wiki/Tina_Bridges,c285,5,2,2,0,0,,,
/wiki/Jenn_Grijalva,c137,5,3,0,0,1,,,
/wiki/Dunbar_Merrill,c091,5,1,0,1,0,,,
/wiki/Kailah_Casillas,c165,5,1,0,0,0,,,
