cLink,chID,raw_name,season_number,season,vote_type
/wiki/Abram_Boise,c001,Abram,7,7. The Gauntlet,group
/wiki/Alton_Williams,c010,Alton,7,7. The Gauntlet,group
/wiki/Cara_Zavaleta,c051,Cara,7,7. The Gauntlet,group
/wiki/Cara_Zavaleta,c051,Cara,7,7. The Gauntlet,group
/wiki/Coral_Smith,c067,Coral,7,7. The Gauntlet,group
/wiki/David_Broom,c080,David,7,7. The Gauntlet,group
/wiki/Elka_Walker,c095,Elka,7,7. The Gauntlet,group
/wiki/Irulan_Wilson,c124,Irulian,7,7. The Gauntlet,group
/wiki/Katie_Cooley,c169,Katie,7,7. The Gauntlet,group
/wiki/Katie_Cooley,c169,Katie,7,7. The Gauntlet,group
/wiki/Laterrian_Wallace,c182,Laterrian,7,7. The Gauntlet,group
/wiki/Matt_Smith,c201,Matt,7,7. The Gauntlet,group
/wiki/Mike_Mizanin,c211,Mike,7,7. The Gauntlet,group
/wiki/Montana_McGlynn,c214,Montana,7,7. The Gauntlet,group
/wiki/Rachel_Robinson,c243,Rachel,7,7. The Gauntlet,group
/wiki/Rachel_Braband,c241,Rachel B.,7,7. The Gauntlet,group
/wiki/Sarah_Greyson,c257,Sarah,7,7. The Gauntlet,group
/wiki/Sarah_Greyson,c257,Sarah,7,7. The Gauntlet,group
/wiki/Sarah_Greyson,c257,Sarah,7,7. The Gauntlet,group
/wiki/Sarah_Greyson,c257,Sarah,7,7. The Gauntlet,group
/wiki/Sarah_Greyson,c257,Sarah,7,7. The Gauntlet,group
/wiki/Steve_Meinke,c270,Steve,7,7. The Gauntlet,group
/wiki/Steve_Meinke,c270,Steve,7,7. The Gauntlet,group
/wiki/Theo_Gantt,c279,Theo G.,7,7. The Gauntlet,group
/wiki/Tina_Bridges,c285,Tina,7,7. The Gauntlet,group
/wiki/Tonya_Cooley,c288,Tonya,7,7. The Gauntlet,group
/wiki/Trishelle_Cannatella,c293,Trishelle,7,7. The Gauntlet,group
/wiki/Trishelle_Cannatella,c293,Trishelle,7,7. The Gauntlet,group
/wiki/Christena_Pyle,c061,Christena,8,8. The Inferno,group
/wiki/Coral_Smith,c067,Coral,8,8. The Inferno,group
/wiki/David_Burns,c081,David,8,8. The Inferno,group
/wiki/David_Burns,c081,David,8,8. The Inferno,group
/wiki/Holly_Shand,c119,Holy,8,8. The Inferno,group
/wiki/Jeremy_Blossom,c142,Jeremy,8,8. The Inferno,group
/wiki/Jeremy_Blossom,c142,Jeremy,8,8. The Inferno,group
/wiki/Julie_Stoffer,c164,Julia,8,8. The Inferno,group
/wiki/Mallory_Snyder,c196,Mallory,8,8. The Inferno,group
/wiki/Mike_Mizanin,c211,Mike,8,8. The Inferno,group
/wiki/Shane_Raines,c262,Shane,8,8. The Inferno,group
/wiki/Syrus_Yarbrough,c276,Syrus,8,8. The Inferno,group
/wiki/Timmy_Beggy,c284,Timmy,8,8. The Inferno,group
/wiki/Trishelle_Cannatella,c293,Trishelle,8,8. The Inferno,group
/wiki/Veronica_Portillo,c299,Veronica,8,8. The Inferno,group
/wiki/Veronica_Portillo,c299,Veronica,8,8. The Inferno,group
/wiki/Abram_Boise,c001,Abram,10,10. The Inferno II,group
/wiki/Dan_Renzi,c072,Dan,10,10. The Inferno II,group
/wiki/Dan_Renzi,c072,Dan,10,10. The Inferno II,group
/wiki/Jodi_Weatherton,c150,Jodi,10,10. The Inferno II,group
/wiki/Julie_Stoffer,c164,Julie,10,10. The Inferno II,group
/wiki/Karamo_Brown,c167,Karamo,10,10. The Inferno II,group
/wiki/Landon_Lueck,c180,Landon,10,10. The Inferno II,group
/wiki/Mike_Mizanin,c211,Mike,10,10. The Inferno II,group
