cLink,chID,seasonLeft,reasonForLeaving
/wiki/Coral_Smith,c067,7,Injury
/wiki/Steven_Hill,c271,9,Violence
/wiki/Beth_Stolarczyk,c034,10,Quit
/wiki/Jo_Rhodes,c148,11,Quit
/wiki/Cameran_Eubanks,c048,11,Quit
/wiki/Beth_Stolarczyk,c034,11,Quit
/wiki/Coral_Smith,c067,12,Injury
/wiki/Evan_Starkman,c105,12,Injury
/wiki/Tina_Bridges,c285,13,Violence
/wiki/Beth_Stolarczyk,c034,13,DQ
/wiki/Chris_Tamburello,c059,13,DQ
/wiki/Chris_Tamburello,c059,14,Violence
/wiki/Timmy_Beggy,c284,14,DQ
/wiki/Tyrie_Ballard,c298,15,Quit
/wiki/Coral_Smith,c067,15,Quit
/wiki/Eric_Banks,c101,15,Quit
/wiki/Chris_Tamburello,c059,17,Violence
/wiki/Adam_King,c003,17,Violence
/wiki/Shauvon_Torres,c263,18,Injury
/wiki/Tonya_Cooley,c288,18,Violence
/wiki/Brad_Fiorenza,c036,18,Violence
/wiki/Darrell_Taylor,c078,18,Violence
/wiki/Katelynn_Cusanelli,c168,19,DQ
/wiki/Brandon_Nelson,c037,19,DQ
/wiki/Shauvon_Torres,c263,20,Quit
/wiki/Ty_Ruff,c296,20,DQ
/wiki/Chet_Cannon,c056,20,Injury
/wiki/Paula_Meronek,c235,20,DQ
/wiki/Abram_Boise,c001,20,Injury
/wiki/Sarah_Rice,c258,20,Injury
/wiki/Adam_Royer,c006,21,Violence
/wiki/Leroy_Garrett,c188,21,DQ
/wiki/Michael_Ross,c207,21,DQ
/wiki/Jenn_Grijalva,c137,21,DQ
/wiki/Mandi_Moyer,c197,21,DQ
/wiki/Sarah_Rice,c258,22,DQ
/wiki/Vinny_Foti,c302,22,Violence
/wiki/Dustin_Zito,c092,22,Injury
/wiki/Heather_Marter,c118,22,DQ
/wiki/Eric_Banks,c101,23,Quit
/wiki/Camila_Nakagawa,c049,23,DQ
/wiki/Naomi_Defensor,c218,24,Quit
/wiki/Trishelle_Cannatella,c293,24,Quit
/wiki/Sarah_Rice,c258,24,DQ
/wiki/Trey_Weatherholtz,c292,24,DQ
/wiki/Zach_Nichols,c305,24,DQ
/wiki/Chet_Cannon,c056,25,Injury
/wiki/Frank_Sweeney,c110,25,Injury
/wiki/Chris_Tamburello,c059,26,DQ
/wiki/Diem_Brown,c090,26,Injury
/wiki/Nia_Moore,c227,26,Violence
/wiki/Jay_Mitchell,c132,26,Quit
/wiki/Jenna_Compono,c139,26,Quit
/wiki/Leroy_Garrett,c188,27,DQ
/wiki/Candice_Fowler,c307,27,Injury
/wiki/Tony_Raines,c287,27,Injury
/wiki/Shane_Raines,c262,27,DQ
/wiki/Leroy_Garrett,c188,28,Injury
/wiki/Averey_Tressler,c028,28,DQ
/wiki/Brandon_Tindel,c039,28,Quit
/wiki/Briana_LaCuesta,c040,28,DQ
/wiki/Thomas_Buell,c283,28,Quit
/wiki/Simone_Kelly,c266,28,DQ
/wiki/Tony_Raines,c287,28,DQ
/wiki/Camila_Nakagawa,c049,28,DQ
/wiki/Theo_King-Bradley,c280,29,Quit
/wiki/Ashley_Mitchell,c027,30,Quit
/wiki/Nelson_Thomas,c226,30,Violence
/wiki/Shane_Raines,c262,30,Violence
/wiki/Simone_Kelly,c266,30,Violence
/wiki/Ammo_Hall,c014,30,Injury
/wiki/Eddie_Williams,c094,31,Quit
/wiki/Nicole_Zanatta,c232,31,Injury
/wiki/Kayleigh_Morris,c171,31,Quit
/wiki/Veronica_Portillo,c299,31,Injury
/wiki/Sylvia_Elsrode,c275,31,Injury
/wiki/Kailah_Casillas,c165,32,Violence
/wiki/Melissa_Reeves,c206,32,Violence
/wiki/Cory_Wharton,c069,32,Violence
/wiki/Devin_Walker,c088,32,DQ
/wiki/Alan_Valdez,c007,33,Injury
/wiki/Georgia_Harrison,c114,33,Injury
/wiki/Mattie_Lynn_Breaux,c202,33,Quit
/wiki/Faith_Stowers,c107,34,Quit
/wiki/Zahida_Allen,c306,34,Quit
/wiki/Turabi_Çamkıran,c295,34,Violence
/wiki/Jay_Starrett,c133,35,Injury
/wiki/Tula_Fazakerley,c294,35,Injury
/wiki/Bayleigh_Dayton,c032,35,Quit
/wiki/Melissa_Reeves,c206,35,Quit
/wiki/Nicole_Zanatta,c232,36,Injury
/wiki/Liv_Jawando,c191,36,Injury
/wiki/Natalie_Anderson,c219,36,Injury
/wiki/Lio_Rush,c190,36,Quit
/wiki/Lolo_Jones,c194,36,Quit
/wiki/Nam_Vo,c216,36,Injury
/wiki/Kyle_Christie,c178,36,Injury
/wiki/Nam_Vo,c216,37,Quit
/wiki/Fessy_Shafaat,c108,37,Violence
/wiki/Tommy_Sheehan,c286,37,Injury
/wiki/Ashley_Mitchell,c027,37,Violence
/wiki/Lauren_Coogan,c186,37,Violence
/wiki/Aneesa_Ferreira,c016,37,Injury
