cLink,chID,name,seasonCount,seasonsWon,finalsCount,totalDailiesCount,totalDailiesWon,teamDailiesCount,pairDailiesCount,indivDailiesCount,teamDailiesWon,pairDailiesWon,indivDailiesWon,totalElim,totalElimWon,indivElimWon,teamElimWon
/wiki/Abram_Boise,c001,Abram Boise,8,2,4,80,49,75,5,0,49,0,0,4,2,2,0
/wiki/Ace_Amerson,c002,Ace Amerson,4,0,1,26,12,26,0,0,12,0,0,2,0,0,0
/wiki/Adam_King,c003,Adam King,6,0,1,34,18,26,8,0,16,2,0,4,2,1,1
/wiki/Adam_Kuhn,c004,Adam Kuhn,1,0,0,6,0,0,6,0,0,0,0,5,3,0,3
/wiki/Adam_Larson,c005,Adam Larson,2,1,1,15,8,15,0,0,8,0,0,1,0,0,0
/wiki/Adam_Royer,c006,Adam Royer,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
/wiki/Alan_Valdez,c007,Alan Valdez,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
/wiki/Alex_Smith,c008,Alex Smith,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
/wiki/Alicia_Wright,c009,Alicia Wright,1,0,0,3,0,0,0,3,0,0,0,1,0,0,0
/wiki/Alton_Williams,c010,Alton Williams,4,1,3,53,22,53,0,0,22,0,0,6,5,5,0
/wiki/Amanda_Garcia,c011,Amanda Garcia,6,0,0,46,10,14,27,5,4,5,1,8,2,1,1
/wiki/Amber_Borzotra,c012,Amber Borzotra,2,1,1,22,1,0,22,0,0,1,0,4,3,2,1
/wiki/Amber_Martinez,c013,Amber Martinez,1,0,0,9,0,0,9,0,0,0,0,1,0,0,0
/wiki/Ammo_Hall,c014,"Chris ""Ammo"" Ammon Hall",1,0,0,4,1,1,1,2,1,0,0,2,1,1,0
/wiki/Anastasia_Miller,c015,Anastasia Miller,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0
/wiki/Aneesa_Ferreira,c016,Aneesa Ferreira,14,0,2,136,26,59,43,34,20,5,1,22,11,10,1
/wiki/Angel_Turlington,c017,Angel Turlington,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0
